date,time,section,calorie_acc,calorie,protien,distance,type,note
2024-11-04,00:00,REST,-52.25,-52.25,0.0,0,0,0
2024-11-04,01:00,REST,-104.5,-52.25,0.0,0,0,0
2024-11-04,02:00,REST,-156.75,-52.25,0.0,0,0,0
2024-11-04,03:00,REST,-209.0,-52.25,0.0,0,0,0
2024-11-04,04:00,REST,-261.25,-52.25,0.0,0,0,0
2024-11-04,04:41,WALK,-769.25,-508.0,0.0,"8,93",0,0
2024-11-04,05:00,REST,-821.5,-52.25,0.0,0,0,0
2024-11-04,06:00,REST,-873.75,-52.25,0.0,0,0,0
2024-11-04,06:30,FOOD,-373.75,500.0,20.0,0,0,Porridge
2024-11-04,07:00,REST,-426.0,-52.25,0.0,0,0,0
2024-11-04,08:00,REST,-478.25,-52.25,0.0,0,0,0
2024-11-04,09:00,REST,-530.5,-52.25,0.0,0,0,0
2024-11-04,10:00,REST,-582.75,-52.25,0.0,0,0,0
2024-11-04,10:00,FOOD,-82.75,500.0,20.0,0,0,Porridge
2024-11-04,11:00,REST,-135.0,-52.25,0.0,0,0,0
2024-11-04,11:21,WALK,-589.0,-454.0,0.0,"7,65",0,0
2024-11-04,12:00,REST,-641.25,-52.25,0.0,0,0,0
2024-11-04,12:22,BIKE,-829.25,-188.0,0.0,0,RMP,0
2024-11-04,13:00,STR,-1054.25,-225.0,0.0,0,BODYPUMP,0
2024-11-04,13:00,REST,-1106.5,-52.25,0.0,0,0,0
2024-11-04,14:00,REST,-1158.75,-52.25,0.0,0,0,0
2024-11-04,15:00,FOOD,-658.75,500.0,20.0,0,0,"Broccoli, kaki, veg sausage, coleslaw, plum, egg, mozzarella"
2024-11-04,15:00,REST,-711.0,-52.25,0.0,0,0,0
2024-11-04,15:30,FOOD,289.0,1000.0,10.0,0,0,"Protein bars, candy"
2024-11-04,16:00,REST,236.75,-52.25,0.0,0,0,0
2024-11-04,17:00,REST,184.5,-52.25,0.0,0,0,0
2024-11-04,18:00,REST,132.25,-52.25,0.0,0,0,0
2024-11-04,19:00,REST,80.0,-52.25,0.0,0,0,0
2024-11-04,20:00,REST,27.75,-52.25,0.0,0,0,0
2024-11-04,21:00,REST,-24.5,-52.25,0.0,0,0,0
2024-11-04,22:00,REST,-76.75,-52.25,0.0,0,0,0
2024-11-04,23:00,REST,-129.0,-52.25,0.0,0,0,0
2024-11-05,00:00,REST,-52.25,-52.25,0.0,0,0,0
2024-11-05,01:00,REST,-104.5,-52.25,0.0,0,0,0
2024-11-05,02:00,REST,-156.75,-52.25,0.0,0,0,0
2024-11-05,03:00,REST,-209.0,-52.25,0.0,0,0,0
2024-11-05,04:00,REST,-261.25,-52.25,0.0,0,0,0
2024-11-05,04:25,WALK,-624.25,-363.0,0.0,"8,38",0,0
2024-11-05,05:00,REST,-676.5,-52.25,0.0,0,0,0
2024-11-05,05:30,FOOD,-176.5,500.0,20.0,0,0,Porridge
2024-11-05,06:00,REST,-228.75,-52.25,0.0,0,0,0
2024-11-05,07:00,REST,-281.0,-52.25,0.0,0,0,0
2024-11-05,08:00,REST,-333.25,-52.25,0.0,0,0,0
2024-11-05,09:00,FOOD,166.75,500.0,20.0,0,0,Porridge
2024-11-05,09:00,REST,114.5,-52.25,0.0,0,0,0
2024-11-05,10:00,REST,62.25,-52.25,0.0,0,0,0
2024-11-05,10:53,WALK,-365.75,-428.0,0.0,"7,38",0,0
2024-11-05,11:00,REST,-418.0,-52.25,0.0,0,0,0
2024-11-05,11:30,FOOD,-268.0,150.0,2.0,0,0,"Sandwish, butter, peanut butter"
2024-11-05,12:00,REST,-320.25,-52.25,0.0,0,0,0
2024-11-05,13:00,REST,-372.5,-52.25,0.0,0,0,0
2024-11-05,13:00,FOOD,-257.5,115.0,0.0,0,0,Carbs
2024-11-05,13:58,RUN,-762.5,-505.0,0.0,0,10km5'07'',0
2024-11-05,14:00,REST,-814.75,-52.25,0.0,0,0,0
2024-11-05,15:00,REST,-867.0,-52.25,0.0,0,0,0
2024-11-05,15:30,FOOD,-367.0,500.0,20.0,0,0,"Broccoli, kaki, veg sausage, coleslaw, plum, egg, mozzarella"
2024-11-05,16:00,FOOD,33.0,400.0,10.0,0,0,Protein bars
2024-11-05,16:00,REST,-19.25,-52.25,0.0,0,0,0
2024-11-05,17:00,REST,-71.5,-52.25,0.0,0,0,0
2024-11-05,18:00,REST,-123.75,-52.25,0.0,0,0,0
2024-11-05,19:00,REST,-176.0,-52.25,0.0,0,0,0
2024-11-05,20:00,REST,-228.25,-52.25,0.0,0,0,0
2024-11-05,21:00,REST,-280.5,-52.25,0.0,0,0,0
2024-11-05,22:00,REST,-332.75,-52.25,0.0,0,0,0
2024-11-05,23:00,REST,-385.0,-52.25,0.0,0,0,0
2024-11-06,00:00,REST,-52.25,-52.25,0.0,0,0,0
2024-11-06,01:00,REST,-104.5,-52.25,0.0,0,0,0
2024-11-06,02:00,REST,-156.75,-52.25,0.0,0,0,0
2024-11-06,03:00,REST,-209.0,-52.25,0.0,0,0,0
2024-11-06,04:00,REST,-261.25,-52.25,0.0,0,0,0
2024-11-06,04:22,WALK,-739.25,-478.0,0.0,"8,79",0,0
2024-11-06,05:00,REST,-791.5,-52.25,0.0,0,0,0
2024-11-06,05:30,FOOD,-291.5,500.0,20.0,0,0,Porridge
2024-11-06,06:00,REST,-343.75,-52.25,0.0,0,0,0
2024-11-06,07:00,REST,-396.0,-52.25,0.0,0,0,0
2024-11-06,08:00,REST,-448.25,-52.25,0.0,0,0,0
2024-11-06,09:00,FOOD,51.75,500.0,20.0,0,0,Porridge
2024-11-06,09:00,REST,-0.5,-52.25,0.0,0,0,0
2024-11-06,10:00,REST,-52.75,-52.25,0.0,0,0,0
2024-11-06,10:47,WALK,-490.75,-438.0,0.0,"7,58",0,0
2024-11-06,11:00,REST,-543.0,-52.25,0.0,0,0,0
2024-11-06,12:00,REST,-595.25,-52.25,0.0,0,0,0
2024-11-06,12:00,FOOD,-445.25,150.0,2.0,0,0,"Sandwish, butter, peanut butter"
2024-11-06,13:00,REST,-497.5,-52.25,0.0,0,0,0
2024-11-06,13:42,BIKE,-969.5,-472.0,0.0,0,TRIP,0
2024-11-06,14:00,REST,-1021.75,-52.25,0.0,0,0,0
2024-11-06,15:00,REST,-1074.0,-52.25,0.0,0,0,0
2024-11-06,15:30,FOOD,-574.0,500.0,20.0,0,0,"Broccoli, kaki, veg sausage, coleslaw, plum, egg, mozzarella"
2024-11-06,16:00,REST,-626.25,-52.25,0.0,0,0,0
2024-11-06,16:00,FOOD,-126.25,500.0,10.0,0,0,Protein bars
2024-11-06,17:00,REST,-178.5,-52.25,0.0,0,0,0
2024-11-06,18:00,REST,-230.75,-52.25,0.0,0,0,0
2024-11-06,19:00,REST,-283.0,-52.25,0.0,0,0,0
2024-11-06,20:00,REST,-335.25,-52.25,0.0,0,0,0
2024-11-06,21:00,REST,-387.5,-52.25,0.0,0,0,0
2024-11-06,22:00,REST,-439.75,-52.25,0.0,0,0,0
2024-11-06,23:00,REST,-492.0,-52.25,0.0,0,0,0
2024-11-07,00:00,REST,-52.25,-52.25,0.0,0,0,0
2024-11-07,01:00,REST,-104.5,-52.25,0.0,0,0,0
2024-11-07,02:00,REST,-156.75,-52.25,0.0,0,0,0
2024-11-07,03:00,REST,-209.0,-52.25,0.0,0,0,0
